2023,2022,2021,2020,2019,2018,2017,2016,2016-2017
PRCH_EF,PRCH_EF,LOCK_EF,PRCH_EF,PRCH_EF,IMP_EF,PTA99_EF,PTA99_EF,Match
IDX_EF,IDX_EF,PRCH_EF,IDX_EF,IDX_EF,PTA99_EF,PTACIPEF,PTACIPEF,Match
PCEF_F,PCEF_F,IDX_EF,PCEF_F,PCEF_F,PTACIPEF,PTB_EF,PTB_EF,Match
IMP_EF,IMP_EF,PCEF_F,IMP_EF,IMP_EF,PTB_EF,PTC_EF,PTC_EF,Match
PTA99_EF,PTA99_EF,IMP_EF,PTA99_EF,PTA99_EF,PTC_EF,PTD_EF,PTD_EF,Match
PTACIPEF,PTACIPEF,PTA99_EF,PTACIPEF,PTACIPEF,PTD_EF,STAT_F,STAT_F,Match
PTB_EF,PTB_EF,PTACIPEF,PTB_EF,PTB_EF,STAT_F,LOCK_F,LOCK_F,Match
PTC_EF,PTC_EF,PTB_EF,PTC_EF,PTC_EF,LOCK_F,PRCH_F,PRCH_F,Match
PTD_EF,PTD_EF,PTC_EF,PTD_EF,PTD_EF,PRCH_F,IDX_F,IDX_F,Match
STAT_F,STAT_F,PTD_EF,STAT_F,STAT_F,IDX_F,PCF_F,PCF_F,Match
LOCK_F,LOCK_F,STAT_F,LOCK_F,LOCK_F,PCF_F,PRCHTP_F,PRCHTP_F,Match
PRCH_F,PRCH_F,LOCK_F,PRCH_F,PRCH_F,PRCHTP_F,IMP_F,IMP_F,Match
IDX_F,IDX_F,PRCH_F,IDX_F,IDX_F,IMP_F,FORM_F,FORM_F,Match
PCF_F,PCF_F,IDX_F,PCF_F,PCF_F,FORM_F,FYBEG,FYBEG,Match
PRCHTP_F,PRCHTP_F,PCF_F,PRCHTP_F,PRCHTP_F,FYBEG,FYEND,FYEND,Match
IMP_F,IMP_F,PRCHTP_F,IMP_F,IMP_F,FYEND,GPFS,GPFS,Match
FORM_F,FORM_F,IMP_F,FORM_F,FORM_F,GPFS,F1GASBAL,F1GASBAL,Match
FYBEG,FYBEG,FORM_F,FYBEG,FYBEG,F1GASBAL,F2PELL,F2PELL,Match
FYEND,FYEND,FYBEG,FYEND,FYEND,F2PELL,F3PELL,F3PELL,Match
GPFS,GPFS,FYEND,GPFS,GPFS,F3PELL,F_ATHLTC,F_ATHLTC,Match
F1GASBAL,F1GASBAL,GPFS,F1GASBAL,F1GASBAL,F_ATHLTC,F3BIST,F3BIST,Match
F2PELL,F2PELL,F1GASBAL,F2PELL,F2PELL,F3BIST,STAT_AL,STAT_AL,Match
F3PELL,F3PELL,F2PELL,F3PELL,F3PELL,STAT_AL,LOCK_AL,LOCK_AL,Match
FCOLATHL,FCOLATHL,F3PELL,F_ATHLTC,F_ATHLTC,LOCK_AL,PRCH_AL,PRCH_AL,Match
F_ATHEX1,F_ATHEX1,F_ATHLTC,F_ATHRV1,F3BIST,PRCH_AL,IDX_AL,IDX_AL,Match
F_ATHEX2,F_ATHEX2,F_ATHRV1,F_ATHRV2,STAT_AL,IDX_AL,PCAL_F,PCAL_F,Match
F_ATHEX9,F_ATHEX9,F_ATHRV2,F_ATHRV3,LOCK_AL,PCAL_F,IMP_AL,IMP_AL,Match
F_ATHRV,F_ATHRV,F_ATHRV3,F_ATHRV9,PRCH_AL,IMP_AL,HASAL,HASAL,Match
F_ATHRV1,F_ATHRV1,F_ATHRV9,F3BIST,IDX_AL,HASAL,NTRLDSTR,NTRLDSTR,Match
F_ATHRV2,F_ATHRV2,F3BIST,STAT_AL,PCAL_F,NTRLDSTR,REV_IC,REV_IC,Match
F_ATHRV9,F_ATHRV9,STAT_AL,LOCK_AL,IMP_AL,REV_IC,REV_C,REV_C,Match
F3BIST,F3BIST,LOCK_AL,PRCH_AL,HASAL,REV_C,REV_E12,REV_E12,Match
STAT_AL,STAT_AL,PRCH_AL,IDX_AL,NTRLDSTR,REV_E12,REV_SFA,REV_SFA,Match
LOCK_AL,LOCK_AL,IDX_AL,PCAL_F,REV_IC,REV_SFA,REV_GR,REV_GR,Match
PRCH_AL,PRCH_AL,PCAL_F,IMP_AL,REV_C,REV_GR,REV_GR2,REV_GR2,Match
IDX_AL,IDX_AL,IMP_AL,HASAL,REV_E12,REV_GR2,REV_OM,REV_OM,Match
PCAL_F,PCAL_F,HASAL,NTRLDSTR,REV_SFA,REV_OM,REV_ADM,REV_ADM,Match
IMP_AL,IMP_AL,NTRLDSTR,REV_IC,REV_GR,REV_ADM,REV_HR,REV_HR,Match
HASAL,HASAL,REV_IC,REV_C,REV_GR2,REV_HR,REV_EF,REV_EF,Match
NTRLDSTR,NTRLDSTR,REV_C,REV_E12,REV_OM,REV_EF,REV_F,REV_F,Match
UNITID,REV_IC,REV_E12,REV_SFA,REV_ADM,REV_F,REV_AL  ,REV_AL  ,Match
PEO1ISTR,REV_C,REV_SFA,REV_GR,REV_HR,REV_AL  ,UNITID,UNITID,Match
PEO2ISTR,REV_E12,REV_GR,REV_GR2,REV_EF,UNITID,PEO1ISTR,PEO1ISTR,Match
PEO3ISTR,REV_SFA,REV_GR2,REV_OM,REV_F,PEO1ISTR,PEO2ISTR,PEO2ISTR,Match
PEO4ISTR,REV_GR,REV_OM,REV_ADM,REV_AL  ,PEO2ISTR,PEO3ISTR,PEO3ISTR,Match
PEO5ISTR,REV_GR2,REV_ADM,REV_HR,UNITID,PEO3ISTR,PEO4ISTR,PEO4ISTR,Match
PEO6ISTR,REV_OM,REV_HR,REV_EF,PEO1ISTR,PEO4ISTR,PEO5ISTR,PEO5ISTR,Match
PEO7ISTR,REV_ADM,REV_EF,REV_F,PEO2ISTR,PEO5ISTR,PEO6ISTR,PEO6ISTR,Match
CNTLAFFI,REV_HR,REV_F,REV_AL  ,PEO3ISTR,PEO6ISTR,CNTLAFFI,CNTLAFFI,Match
